,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,01 October 2020,02 October 2020,03 October 2020,04 October 2020,05 October 2020,06 October 2020,07 October 2020,08 October 2020,09 October 2020,10 October 2020,11 October 2020,12 October 2020,13 October 2020,14 October 2020,15 October 2020,16 October 2020,17 October 2020,18 October 2020,19 October 2020,20 October 2020,21 October 2020,22 October 2020,23 October 2020,24 October 2020,25 October 2020,26 October 2020,27 October 2020,28 October 2020,29 October 2020,30 October 2020,31 October 2020,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,Dhaka,Dhaka City,116657,165721,1.11.2020,,627,591,532,522,648,709,660,583,561,564,656,710,649,606,762,671,523,694,721,596,704,708,720,539,614,760,590,739,746,749,583,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,Dhaka,Dhaka (District),5522,165721,30.10.2020,,10,13,4,10,3,22,12,7,6,22,4,21,4,30,17,15,31,5,11,17,19,24,13,13,0,14,21,11,24,19,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,Dhaka,Gazipur,5725,165721,31.10.2020,,7,9,9,1,13,12,6,6,16,11,2,11,7,5,8,10,10,7,12,10,8,7,10,9,2,14,8,0,9,14,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,Dhaka,Kishoreganj,3035,165721,31.10.2020,,3,5,12,1,10,8,4,4,7,7,1,18,13,10,13,4,0,11,10,2,4,14,7,8,2,8,6,2,9,8,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,Dhaka,Madaripur,1497,165721,31.10.2020,,4,2,0,0,0,4,0,0,2,0,3,1,0,0,4,2,0,0,3,2,0,1,0,0,0,1,0,0,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,Dhaka,Manikganj,1574,165721,31.10.2020,,1,0,0,0,0,2,2,2,3,13,0,3,1,3,9,5,0,0,0,7,4,1,3,4,0,1,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,Dhaka,Narayanganj,7160,165721,31.10.2020,,28,9,9,8,13,13,18,11,12,9,3,19,19,5,12,22,10,11,11,15,21,21,10,5,9,14,20,9,11,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,Dhaka,Munshigonj,3721,165721,31.10.2020,,9,0,13,11,0,6,5,6,1,10,0,8,0,11,22,7,4,4,0,10,8,8,1,8,20,1,0,15,11,15,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,Dhaka,Narshingdi,2466,165721,31.10.2020,,5,6,5,2,5,10,4,7,4,6,3,6,4,4,1,5,5,1,5,5,1,5,6,7,1,11,2,6,7,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,Dhaka,Rajbari,3178,165721,31.10.2020,,14,10,0,9,5,0,4,0,7,0,9,0,5,0,12,0,9,3,0,6,0,0,11,0,0,5,2,0,9,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,Dhaka,Faridpur,7433,165721,31.10.2020,,10,17,11,7,5,9,13,5,13,10,8,9,4,12,12,13,13,3,11,9,6,9,10,8,3,7,4,4,13,19,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,Dhaka,Tangail,3290,165721,31.10.2020,,15,3,3,0,10,5,4,10,4,6,0,18,5,4,7,11,4,1,5,5,7,5,5,2,0,7,3,1,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,Dhaka,Shariatpur,1784,165721,31.10.2020,,9,0,0,5,8,0,2,0,3,0,7,0,1,0,7,0,0,14,8,5,0,0,7,0,0,4,0,0,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,Dhaka,Gopalganj,2679,165721,31.10.2020,,1,7,5,0,6,9,5,5,4,3,0,1,0,6,4,0,3,0,4,0,8,0,3,3,3,2,8,0,6,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,Chattogram,Chattogram,21216,50928,01.11.2020,,54,90,57,39,71,67,65,79,100,87,44,90,60,101,74,90,82,55,91,76,78,110,94,81,32,92,96,43,98,91,92,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,Chattogram,Cox’s bazar,5161,50928,01.11.2020,,8,16,6,18,8,28,10,12,4,2,10,7,10,15,1,6,3,14,26,23,16,14,37,12,11,5,22,27,16,27,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,Chattogram,Comilla,7950,50928,01.11.2020,,13,28,17,9,10,15,23,14,18,10,9,9,25,14,10,15,13,24,8,30,23,13,9,12,20,12,10,11,4,21,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19.0,Chattogram,B. Baria,2509,50928,01.11.2020,,0,7,0,3,0,0,0,0,4,0,0,3,0,0,0,3,0,8,0,2,0,0,8,0,1,6,0,0,0,3,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,Chattogram,Khagrachari,710,50928,01.11.2020,,0,0,0,1,0,0,5,0,2,0,6,0,0,8,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
